index,short_hash,full_hash,date,author,type,pr_number,subject,files_changed,insertions,deletions
142,94d89a5,94d89a5ac1b0822e485ced80737da29b79551ce7,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(repo-context): add method to list repository chunks with pagination support",2,100,5
143,5d40a0d,5d40a0d575e0ad04c8a636313baaafdda745b7de,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(kb_repo): add repo_id and doc_version to KBDocumentChunkRow and implement list_document_chunks method",1,38,0
144,2d6378a,2d6378afc139346e119c8c17768de1fca232ef05,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(langchain): implement LangChainShadowIndexingService for managing repo context and document chunk indexing",1,217,0
145,f2140b2,f2140b2ada2232572a557d6603d7cbab23a5d669,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(rag-engines): implement RagEngine and LegacyRagEngine for document retrieval and processing",2,723,0
146,28bf5cc,28bf5cc687049dbfda9387a0c2690d1b012fbc7e,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"fix(ingestor): correct import statement for RepoContextChunkRow in ingestor.py",1,19,1
147,a3083df,a3083dfa4e164e59805bf8780a902340c09fac6f,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(knowledge-base): implement LangChain shadow indexing for document ingestion and add SQL write utility for RepoContextChunkRow",2,51,0
148,34ff02d,34ff02d2056a9a6a7b1b8cb5defb7f38a50ef321,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(rag-engines): integrate primary RAG and review engines selection in knowledge base and analyze PR tasks",4,131,37
149,bc20c33,bc20c339cc464c605fba3e1001a5419e4f708fef,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(analyze-pr): enhance analysis pipeline with dual RAG engine support and improved summary handling",1,291,31
150,601ac19,601ac195f6052b268738141f46ee2ed317a73b5b,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat(analyze-pr): implement hybrid RAG support in minimal analysis pipeline",1,30,10
151,b4a180e,b4a180e06ef0a0b3fcb5b9dfea1e491af4fb6dce,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"refactor: remove unused imports across multiple files",6,34,8
152,3e132d3,3e132d33998fd4d119645b34a79bb6eb1d50ef99,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"test: add unit tests for LangChain output parser and shadow indexing service",4,217,0
153,652968d,652968dc5f6102073c5f4353c033316218bf360f,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"test: enable LANGCHAIN in shadow index upsert tests",1,4,2
154,69b3289,69b328908354b1043764216997c37d11c2b5bec5,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"Add Langchain dependencies to backend project",3,1695,4
155,75f7b95,75f7b953ca3565c4de787467b7a9a8f2c6d3c1e9,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"fix: reorder repo_id and doc_version in KBDocumentChunkRow for consistency",1,2,2
156,ddd2ff3,ddd2ff3c31ac7d134ef1175b9ef360cdee8a3db6,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat: enhance retrieval models with additional metadata fields and improve context packing logic",7,181,18
157,7609333,7609333fac7d935a23a25adea056bc45537bfefa,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat: enhance context handling and validation in review intelligence services",4,100,13
158,74af774,74af77400c9794a4e3a922b8779fa5eba27a9207,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat: enhance LangChain integration with improved context handling and validation",9,259,78
159,3ab8876,3ab8876fc4046bd10b0f30b80da123e1c9eb9ad9,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat: add context references to non-Qdrant grounding test case",1,11,0
160,04ec585,04ec5858f7abcc22b621d53f5dbbc5f79b212e28,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat: add LangChain parity thresholds to settings and update evaluation logic",2,8,4
161,677a7b4,677a7b4136ca11638468757633eb6d63de5b4fc1,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat: add LangChain parity campaign service and report generation, enhance settings for distributed limiter",7,420,8
162,652cce3,652cce328b36617cd38a6a1b59cb8bda139abfe6,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat: integrate distributed embedding limiter for query and document embedding methods",2,138,2
163,28385bd,28385bd28e0b00fc5e9d04d1b3921b61ca846423,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"feat: add LangChain parity report generation and Qdrant alias management scripts, enhance Makefile with new commands",5,359,1
164,f520f39,f520f399c7235e0251aef7036206ba2c57d9fe8f,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"fix: correct interval calculation for updated_at filter in AnalysesRepo",1,1,1
165,a136199,a1361994037f3dd467dcbbf41cea3a995a10b7f3,2026-03-17,"Ahmed Amin Bejaoui",Commit,,"refactor: remove deprecated skip-dashboard-env argument and streamline update_env_files logic",1,4,29
166,c09ac64,c09ac6441b7a79b4ae7bf9fd781281bf2676b33c,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"fix: update routing prop for OrganizationProfile component in OrganizationWorkspace",2,4,11
167,bf07eaa,bf07eaaf4f10d6e80a7fec7834dbb621cd9b8b9e,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"feat: add Cloudflare Quick Tunnel support for local backend, update env files, and enhance Makefile with new commands",5,562,11
168,fc75c21,fc75c21b6db68ee20d379a08ff5ddac645f105ff,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"fix nav bar all the page",1,16,10
169,29cfa34,29cfa341a15fc74a09128d76d3e318825bfcda2c,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"feat: add task configurations for automatic development environment setup in VSCode",3,168,1
170,7b32dde,7b32dde672781ff59359236f19e903cf14c79038,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"fix: update navigation links and enhance footer with proper routing",1,107,65
171,1294349,1294349fd4adfb274424e09a46a558cc0b92dde7,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"feat: add marketing content page with structured content and navigation",1,407,0
172,d64813e,d64813e1e68c87190c68a9024b63d7410db4bcbc,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"fix: update trusted marquee animation properties for improved performance",1,7,3
173,c72ec70,c72ec705b3e638b070b8e08dad0a9a30b670ab2f,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"fix: adjust trusted marquee animation duration for improved performance",1,2,12
174,9297ee5,9297ee5cecf68f8b8feb847ff4e2ff055e1e1298,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"feat: add initial product requirements document and MCP configuration for TestSprite",3,208,3
175,f510709,f5107093aacb878be55fd63ef75f875a50f9f73b,2026-03-18,"Ahmed Amin Bejaoui",Commit,,"feat: enhance storage connection handling and add static analysis tests",6,166,11
176,12aa56b,12aa56be6d0d378c510861468e9bb5f71cd3df3e,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: add MCP configuration for TestSprite",1,14,0
177,b174c6f,b174c6f6099ce4eb8986807d27166ad67d7d4196,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"fix: cast repo_id and source_type to TEXT in search query for compatibility",1,2,2
178,163ff53,163ff53f0670d15bffc16aa897af1c37940481e9,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: implement stop queued analyses script to manage analysis statuses",1,62,0
179,494b7af,494b7af51dd67b560f5f51ee68c316f4e27f58ae,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: extend DashboardReviewContextReference with additional fields for enhanced analysis details",4,247,13
180,0bd985a,0bd985a8780f1b7e2df3aec00601b2d83f8074d5,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: update KnowledgeBase component with dynamic placeholders and enhanced chunk metadata display",1,29,2
181,4a0e73f,4a0e73f6ec8e4f57ed649c3438255deb2f02adcb,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance query routes and retrieved context chunk with additional fields and metadata support",6,674,4
182,883cd6f,883cd6fed9236d9ee63a0ffe677a086a74481455,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance candidate and document retrieval with additional metadata fields",3,101,1
183,c2b79a9,c2b79a9bbbd10af75dd97146ebaf59b93d13e607,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance RepoContextRetriever with additional query routes and document source type handling",1,69,6
184,a33feaf,a33feafeb75d9e46132b2a3be2a356f2ec43d960,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance QueryRouter with additional query routes for web, markdown, SQL, and multi-source patterns",1,54,1
185,73fee7a,73fee7acf53a7e5d5117ac535220f6f7599038da,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance LangChainRagEngine with additional query routes and document source type handling",1,49,3
186,a5ceb1a,a5ceb1a4acc2671abfe9549e034d1a04748335ef,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance knowledge base and langchain shadow with additional metadata fields and document section handling",3,225,24
187,84d8aaf,84d8aafb66093bca0d2a1974bb7848672a193abf,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance _WebContentParser to manage title extraction more effectively",2,5,2
188,fdfcd90,fdfcd90363526c740722f73b3c999bce26e876d2,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance build_document_ingestion_result to improve hash resolution logic for empty content",1,6,1
189,75e6744,75e67440ade6510c41e89142d3931866b8e3c96e,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: update test cases in test_query_router to improve query detection accuracy and fix repo query assertion",2,32,14
190,916f2ec,916f2ec96f129898c504333cac8d7844b5626695,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: add tests for document ingestion to validate metadata preservation and extraction",3,97,0
191,c69f883,c69f883095366d48c9502f6843a11f929824a722,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance SearchCitation and SearchResponse types for improved citation handling",1,33,1
192,74223d2,74223d294d8fffc2217a190f38e838300c924f28,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: enhance retrieval logic in KnowledgeBase component to support multiple source types",1,67,13
193,faea2ac,faea2acddc0d804d43cbe09402d6efb1c07483af,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: Enhance document lifecycle management and re-ranking logic",9,1138,116
194,c4f505e,c4f505e8fd2bac42bd21e44e44689604aaebadb8,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"fix: Update last indexed timestamp to use current time directly in sync payload",2,2,7
195,6e869e1,6e869e1a25f3eaa612319cd61d5e27eb3e9b0c08,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: Refresh repository profile observability on document sync failure",1,3,0
196,f421cac,f421cac035f2fad3ea46313137d37d9e1461c981,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"refactor: Simplify multi-source quotas normalization logic in ContextPacker",1,12,15
197,d36e37a,d36e37a8b995073bb1f923b3d5b7b35e60dba212,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"fix: Cast repo_id and source_type to TEXT in SQL query for compatibility",1,2,2
198,4c5d17b,4c5d17b3433a076b37a7556ca439e90d810e3dee,2026-03-19,"Ahmed Amin Bejaoui",Commit,,"feat: Add KB document maintenance schedule configuration to Celery app",2,9,0
199,be33d6c,be33d6c0c5d0acc8b7427e9ac08b2ae8afddf701,2026-03-22,"Ahmed Amin Bejaoui",Commit,,"feat: Integrate Iconsax icon library and add usage documentation",11,950,0
200,36ed0f9,36ed0f96e7c4ede42113a38a1983c492dcc2ed3b,2026-03-22,"Ahmed Amin Bejaoui",Commit,,"refactor: Simplify section styling in RoleRedirectPage component",1,2,2
201,73fda65,73fda650940d3f2afdec3d89ceb1367e83f2ebca,2026-03-22,"Ahmed Amin Bejaoui",Commit,,"feat: Enhance DashboardLayout with new utility classes and improved sidebar navigation",2,182,301
202,d47b720,d47b720faffa953793ef85ad7f224848c4f982d1,2026-03-23,"Ahmed Amin Bejaoui",Commit,,"feat: Implement analysis deletion functionality",29,904,31
